window_id,timestamp,datetime,duration,flow_count,CPWE,CPRF,RFPSD,RFBSD,CFER
150,1743373457.863657,2025-03-30 23:24:17.863657,4.0495030879974365,4,1.0,1.975551030868868,2.8284271247461903,470.57517996596465,2.0
151,1743373461.913164,2025-03-30 23:24:21.913164,4.118707180023193,4,1.0,1.9423570674803228,2.8284271247461903,470.57517996596465,2.0
152,1743373466.032258,2025-03-30 23:24:26.032258,4.086658000946045,4,1.0,1.9575897954142558,2.8284271247461903,470.57517996596465,2.0
153,1743373470.118922,2025-03-30 23:24:30.118922,4.092381954193115,4,1.0,1.9548517439343807,2.8284271247461903,470.57517996596465,2.0
154,1743373474.211308,2025-03-30 23:24:34.211308,4.0668230056762695,4,1.0,1.9671374900835363,2.8284271247461903,470.57517996596465,2.0
155,1743373478.278135,2025-03-30 23:24:38.278135,4.087329864501953,4,1.0,1.9572680124203314,2.8284271247461903,470.57517996596465,2.0
156,1743373482.365469,2025-03-30 23:24:42.365469,4.087270975112915,4,0.9971803988942642,1.9572962127325046,2.5495097567963922,424.1391281171781,2.0
157,1743373486.452783,2025-03-30 23:24:46.452783,4.059684991836548,4,1.0,1.9705962448039362,2.5495097567963922,322.4298373289916,2.0
158,1743373490.512506,2025-03-30 23:24:50.512506,4.174233913421631,4,0.9971803988942642,1.9165193340692253,2.5495097567963922,322.4298373289916,2.0
159,1743373494.686815,2025-03-30 23:24:54.686815,7.310267925262451,4,1.0,1.0943511348406272,5.244044240850758,564.0343517907398,2.0
160,1743373501.997124,2025-03-30 23:25:01.997124,6.046163082122803,3,1.0,1.7642042600878056,1.247219128924647,102.88288919392228,1.0
161,1743373508.043335,2025-03-30 23:25:08.043335,9.353721141815186,3,1.0,1.1403661179273399,5.792715732327589,656.7881444321804,1.0
162,1743373517.397752,2025-03-30 23:25:17.397752,9.051321983337402,3,1.0,1.1784650558562557,5.792715732327589,649.2854191767713,2.0
163,1743373526.449795,2025-03-30 23:25:26.449795,6.0677900314331055,3,1.0,1.7579162448617867,1.247219128924647,106.48317550987417,1.0
164,1743373532.51772,2025-03-30 23:25:32.517720,9.469098091125488,3,1.0,1.1264712398178183,7.408703590297622,775.8373254462275,1.0
165,1743373541.986974,2025-03-30 23:25:41.986974,8.770664930343628,3,1.0,1.2161753699840354,5.792715732327589,649.2854191767713,2.0
166,1743373550.757791,2025-03-30 23:25:50.757791,6.080941915512085,3,1.0,1.7541142169861381,1.247219128924647,106.48317550987417,1.0
167,1743373556.838773,2025-03-30 23:25:56.838773,10.114425897598267,3,1.0,1.0545993192949819,7.408703590297622,775.8373254462275,1.0
168,1743373566.957303,2025-03-30 23:26:06.957303,8.28169584274292,3,1.0,1.287980972642656,5.792715732327589,649.2854191767713,2.0
169,1743373575.239778,2025-03-30 23:26:15.239778,6.046478033065796,3,1.0,1.7641123656341573,1.247219128924647,173.09984273694636,1.0
170,1743373581.286293,2025-03-30 23:26:21.286293,10.380460977554321,2,1.0,1.541357366941296,4.0,229.0,1.0
171,1743373591.666854,2025-03-30 23:26:31.666854,7.7654571533203125,3,1.0,1.3736044711940585,4.189935029992179,504.100739491181,2.0
172,1743373599.434954,2025-03-30 23:26:39.434954,6.032963037490845,3,1.0,1.768064316055053,1.8856180831641267,159.89649429830814,1.0
173,1743373605.987852,2025-03-30 23:26:45.987852,9.27874493598938,2,1.0,1.7243711418277003,4.0,229.0,1.0
174,1743373616.289781,2025-03-30 23:26:56.289781,7.318192005157471,3,0.9971803988942642,1.4575549068881182,4.988876515698588,558.7929451554982,2.0
175,1743373623.608016,2025-03-30 23:27:03.608016,6.06964898109436,3,0.9971803988942642,1.7573778483551552,1.8856180831641267,159.89649429830814,1.0
176,1743373630.624704,2025-03-30 23:27:10.624704,9.215977191925049,2,1.0,1.7361154077094558,4.0,229.0,1.0
177,1743373640.864804,2025-03-30 23:27:20.864804,9.217458963394165,2,1.0,1.7358363149260265,4.0,229.0,1.0
178,1743373651.106821,2025-03-30 23:27:31.106821,6.684185981750488,3,1.0,1.5958063847698662,3.39934634239519,380.37291643274966,2.0
179,1743373657.791021,2025-03-30 23:27:37.791021,2.06072998046875,4,0.9971803988942642,3.882119479904037,3.1622776601683795,439.5929935747384,2.0
180,1743373659.851775,2025-03-30 23:27:39.851775,2.5171871185302734,4,0.9971803988942642,3.1781506988924257,4.242640687119285,593.3236890601959,2.0
181,1743373663.062235,2025-03-30 23:27:43.062235,2.172689914703369,4,0.9971803988942642,3.682071677997463,4.0,565.4358385351958,3.0
182,1743373665.234943,2025-03-30 23:27:45.234943,2.0531740188598633,4,0.9971803988942642,3.896406211316874,2.8284271247461903,412.641112227078,2.0
183,1743373667.28812,2025-03-30 23:27:47.288120,2.11470103263855,4,1.0,3.7830406646268377,4.0,588.7418789248817,1.0
184,1743373669.536661,2025-03-30 23:27:49.536661,3.06451416015625,4,0.9971803988942642,2.610527992989305,4.847679857416329,629.2638556281458,3.0
185,1743373672.601213,2025-03-30 23:27:52.601213,2.0884859561920166,4,1.0,3.8305261169132203,3.6742346141747673,548.8105319689118,2.0
186,1743373674.689837,2025-03-30 23:27:54.689837,2.1351349353790283,4,0.9971803988942642,3.7468357935794083,2.9154759474226504,444.1224493312627,2.0
187,1743373676.825029,2025-03-30 23:27:56.825029,2.0614190101623535,4,1.0,3.8808218807344437,3.5355339059327378,460.56269931465357,2.0
188,1743373678.88648,2025-03-30 23:27:58.886480,3.127918004989624,5,1.0,2.046089440257316,4.923413450036469,645.2936075926988,3.0
189,1743373682.014454,2025-03-30 23:28:02.014454,2.0659332275390625,4,1.0,3.8723419970013224,3.5355339059327378,530.9686313710067,2.0
190,1743373684.088099,2025-03-30 23:28:04.088099,2.0498619079589844,4,1.0,3.902701918084558,2.9154759474226504,418.7143268387171,2.0
191,1743373686.137996,2025-03-30 23:28:06.137996,2.8550240993499756,4,1.0,2.8020779235528765,4.06201920231798,588.1317879523262,2.0
192,1743373688.99321,2025-03-30 23:28:08.993210,2.3831260204315186,4,1.0,3.3569353577665275,4.06201920231798,583.2212273228745,3.0
193,1743373691.376494,2025-03-30 23:28:11.376494,2.164823055267334,4,0.9971803988942642,3.695452143552712,2.9154759474226504,444.1224493312627,2.0
194,1743373693.541377,2025-03-30 23:28:13.541377,2.052271842956543,4,1.0,3.8981190661735354,3.5355339059327378,460.56269931465357,2.0
195,1743373695.593679,2025-03-30 23:28:15.593679,3.2045581340789795,5,1.0,1.997155218355688,4.923413450036469,645.2936075926988,3.0
196,1743373698.798316,2025-03-30 23:28:18.798316,2.083034038543701,4,1.0,3.8405517394199618,3.5355339059327378,530.9686313710067,2.0
197,1743373700.885553,2025-03-30 23:28:20.885553,2.1353461742401123,4,1.0,3.7464651383033445,2.9154759474226504,418.7143268387171,2.0
198,1743373703.020933,2025-03-30 23:28:23.020933,2.3343470096588135,4,1.0,3.42708259179053,4.06201920231798,588.1317879523262,2.0
199,1743373705.35536,2025-03-30 23:28:25.355360,2.856273889541626,4,1.0,2.800851847328912,4.636809247747852,620.3458712686013,3.0
200,1743373708.2117,2025-03-30 23:28:28.211700,2.0583510398864746,4,1.0,3.886606242072892,3.1622776601683795,467.6481048822929,2.0
